time,timestep,iteration,converged,density_error
0.000471698,0.000471698,2,1,4.62307e-09
0.000943396,0.000471698,2,1,1.80752e-09
0.00141509,0.000471698,2,1,1.42516e-09
0.00188679,0.000471698,2,1,2.7808e-10
0.00235849,0.000471698,2,1,6.95199e-11
0.00283019,0.000471698,2,1,1.738e-11
0.00330189,0.000471698,2,1,0
0.00377358,0.000471698,2,1,0
0.00424528,0.000471698,2,1,0
0.00471698,0.000471698,2,1,0
0.00518868,0.000471698,2,1,0
0.00566038,0.000471698,2,1,0
0.00613208,0.000471698,2,1,0
0.00660377,0.000471698,2,1,0
0.00707547,0.000471698,2,1,0
0.00754717,0.000471698,2,1,0
0.00801887,0.000471698,2,1,0
0.00849057,0.000471698,2,1,0
0.00896226,0.000471698,2,1,0
0.00943396,0.000471698,2,1,0
0.00990566,0.000471698,2,1,0
0.0103774,0.000471698,2,1,0
0.0108491,0.000471698,2,1,0
0.0113208,0.000471698,2,1,0
0.0117925,0.000471698,2,1,0
0.0122642,0.000471698,2,1,0
0.0127358,0.000471698,2,1,0
0.0132075,0.000471698,2,1,0
0.0136792,0.000471698,2,1,0
0.0141509,0.000471698,2,1,0
0.0146226,0.000471698,2,1,0
0.0150943,0.000471698,2,1,0
0.015566,0.000471698,2,1,0
0.0160377,0.000471698,2,1,0
0.0165094,0.000471698,2,1,0
0.0169811,0.000471698,2,1,0
0.0174528,0.000471698,2,1,0
0.0179245,0.000471698,2,1,0
0.0183962,0.000471698,2,1,0
0.0188679,0.000471698,2,1,0
0.0193396,0.000471698,2,1,0
0.0198113,0.000471698,2,1,0
0.020283,0.000471698,2,1,0
0.0207547,0.000471698,2,1,0
0.0212264,0.000471698,2,1,0
0.0216981,0.000471698,2,1,0
0.0221698,0.000471698,2,1,0
0.0226415,0.000471698,2,1,2.94817e-07
0.0231132,0.000471698,2,1,1.71186e-06
0.0235849,0.000471698,2,1,3.55829e-06
0.0240566,0.000471698,2,1,5.6299e-06
0.0245283,0.000471698,2,1,9.24177e-06
0.025,0.000471698,2,1,1.5883e-05
0.0254717,0.000471698,2,1,1.69847e-05
0.0259434,0.000471698,2,1,2.59473e-05
0.0264151,0.000471698,2,1,2.9934e-05
0.0268868,0.000471698,2,1,3.02621e-05
0.0273585,0.000471698,2,1,3.0453e-05
0.0278302,0.000471698,2,1,2.93328e-05
0.0283019,0.000471698,2,1,2.35024e-05
0.0287736,0.000471698,2,1,1.71841e-05
